reference_number,determination_type,url,date
PA/00505/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00505-2017,25 Apr 2018
IA/26583/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26583-2013,19 Feb 2015
[2004] UKIAT 133,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2004-ukiat-133,28 May 2004
VA/00002/2014 & VA/00001/2014,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-00002-2014-va-00001-2014,17 Feb 2015
AA/05070/2013,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-05070-2013,7 Jan 2016
PA/11272/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11272-2017,23 Apr 2018
IA/49290/2014 & IA/49294/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-49290-2014-ia-49294-2014,16 Dec 2015
UI-2024-002485,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-002485,14 Feb 2025
EA/09034/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-09034-2017,24 May 2019
IA/49626/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-49626-2013,23 Mar 2015
AA/04027/2013,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-04027-2013,3 Apr 2014
AA/05224/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-05224-2015,20 Jul 2016
EA/03630/2016 & Others,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-03630-2016-others,30 Jul 2018
IA/02181/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-02181-2014,2 Jan 2015
IA/03938/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-03938-2014,3 Feb 2015
PA/10294/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10294-2019,14 Dec 2020
AA/11634/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-11634-2014,26 Nov 2015
IA/29850/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-29850-2015,5 Dec 2016
IA/38131/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-38131-2013,20 May 2015
PA/09561/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09561-2019,16 Nov 2020
HU/17041/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-17041-2016,12 Nov 2018
